destinationplace	city	state	Studentcount	year
University of Minnesota - Twin Cities	Minneapolis	MN	"5,124"	2010
Georgia Institute of Technology	Atlanta	GA	"4,943"	2010
Arizona State University	Tempe	AZ	"4,934"	2010
Texas A&M University	College Station	TX	"4,874"	2010
University of Pennsylvania	Philadelphia	PA	"4,752"	2010
University of Wisconsin - Madison	Madison	WI	"4,647"	2010
University of Houston	Houston	TX	"4,377"	2010
Cornell University	Ithaca	NY	"4,357"	2010
New York University	New York	NY	"9,362"	2013
University of Southern California	Los Angeles	CA	"9,840"	2013
University of Illinois - Urbana-Champaign	Champaign	IL	"9,804"	2013
Columbia University	New York	NY	"8,797"	2013
Purdue University - Main Campus	West Lafayette	IN	"9,509"	2013
University of California - Los Angeles	Los Angeles	CA	"8,424"	2013
Northeastern University	Boston	MA	"7,705"	2013
Arizona State University	Tempe	AZ	"6,645"	2013
Michigan State University	East Lansing	MI	"6,759"	2013
University of Washington	Seattle	WA	"6,491"	2013
University of Michigan - Ann Arbor	Ann Arbor	MI	"6,827"	2013
Boston University	Boston	MA	"6,615"	2013
Penn State University - University Park	University Park	PA	"6,693"	2013
Ohio State University - Main Campus	Columbus	OH	"6,478"	2013
Indiana University - Bloomington	Bloomington	IN	"6,547"	2013
University of Minnesota - Twin Cities	Minneapolis	MN	"6,178"	2013
SUNY University at Buffalo	Buffalo	NY	"5,804"	2013
University of California - Berkeley	Berkeley	CA	"5,632"	2013
University of Texas - Dallas	Richardson	TX	"5,193"	2013
University of Florida	Gainesville	FL	"5,961"	2013
University of Pennsylvania	Philadelphia	PA	"5,751"	2013
University of Wisconsin - Madison	Madison	WI	"5,291"	2013
University of Texas - Austin	Austin	TX	"5,481"	2013
Texas A&M University	College Station	TX	"5,149"	2013
Carnegie Mellon University	Pittsburgh	PA	"4,744"	2013
